District Name,Mandal Name,Village Name,Bore Well Working,Well Type,Bore Depth,Pump Capacity,Crop Type,Irrigation Type,Extant Land Irrigated,Lat,Long
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,141,5,Wet,Flood Irrigation,3,16.98591833,80.65496667
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,122,5,Wet,Flood Irrigation,2,16.9858,80.65450833
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98557456,80.65445202
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,140,,Wet,Flood Irrigation,4,16.98577305,80.65490223
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,186,5,Wet,Flood Irrigation,4,16.99753775,80.6585566
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,167,5,Wet,Flood Irrigation,2,16.99783363,80.66272663
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,167,5,Wet,Flood Irrigation,3,16.99174894,80.659579
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,123,5,Others,Flood Irrigation,6,16.985738,80.65442352
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,165,5,Wet,Flood Irrigation,4,16.99659271,80.65211643
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,144,5,Others,Flood Irrigation,4,16.98554412,80.65444753
Krishna,A Konduru,00-KAMBHAMPADU,Working,Open Well,65,,Wet,Flood Irrigation,2,16.99842241,80.66260595
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,159,,Wet,Flood Irrigation,3,16.98572147,80.65451678
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98565913,80.65456862
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98576893,80.6543759
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98585486,80.65437467
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,38,Wet,Flood Irrigation,3,16.98568405,80.65455295
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,4,16.98566438,80.65468059
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,38,Wet,Flood Irrigation,,16.98574461,80.65463411
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,5,Wet,Flood Irrigation,4,16.98562769,80.65453424
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98534185,80.6547874
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,185,,ID,Flood Irrigation,3,16.95272667,80.64632667
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.985916,80.65461764
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98561722,80.65470224
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.9857404,80.65451566
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,127,5,Wet,Flood Irrigation,8,16.98540134,80.65459298
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98566688,80.65485696
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,,Wet,Flood Irrigation,3,16.98568621,80.65454507
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,5,Wet,Flood Irrigation,5,16.98587133,80.65478872
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,5,Wet,Flood Irrigation,5,16.98569113,80.65456042
Krishna,A Konduru,00-KAMBHAMPADU,Working,Bore Well,150,5,Wet,Flood Irrigation,5,16.98566967,80.6546086
